Category,Description
Document_Writing,Prepare the consent agenda for the full council meeting scheduled for Tuesday.
Administrative_Communication,Expedite the do pass recommendation for Motion 2021 12 and inform the full council.
Document_Writing,Create a Gantt chart showing when all steps need to happen regarding the ordinance processes.
Meeting_Planning,Expedite the proposed ordinance 2021 185 to the June 15th Council agenda.
Document_Writing,Prepare and submit recommendations for appointments to the Harborview Medical Center Board of Trustees.
Meeting_Planning,Schedule the next meeting for the Harborview Medical Center Board of Trustees.
Administrative_Communication,Send the appointed nominees' information to the full council for consideration.
Document_Writing,Prepare the required documentation for the judicial appointment process.
Meeting_Planning,Schedule follow-up meetings to discuss the judicial appointment process.
Administrative_Communication,Send official notifications to the appointed judges regarding their selection.
Document_Writing,"Prepare and send out amendment concepts for Ordinance 2020 157 by this Friday, March 19. | Include a section for minority opinion in the annual report."
Meeting_Planning,Schedule a meeting with political parties to discuss election processes and gain feedback.
Administrative_Communication,Confirm the appointment of Janice Case as Deputy Director of the King County Department of Elections.
Document_Writing,Develop an accountability report for how the facial recognition technology will be used and its impact on privacy and civil liberties.
Meeting_Planning,Prepare for discussion and potential voting on the proposed ordinance at the next meeting.
Administrative_Communication,Provide a summary comparing the county's proposed ordinance with the state law and Seattle's ordinance.
Document_Writing,Prepare legislation addressing fireworks in unincorporated King County for the next agenda.
Meeting_Planning,Convene the Flood District Executive Committee at 1:30 PM.
Document_Writing,Clarify the language regarding the procedures for county personnel to notify their supervisors about the use of facial recognition information. | Follow up with legal counsel regarding conflicts between the proposed ordinance and applicable public disclosure laws.
Meeting_Planning,Schedule the next meeting for further discussion on the proposed ordinance.
Document_Writing,Prepare the consent agenda for the full council's approval of motion 2021 ten.
Meeting_Planning,Schedule the council meeting to discuss the next agenda items.
Administrative_Communication,Notify council members about the approval of motion 2021 ten and its upcoming presentation to the full council.
Document_Writing,Draft and finalize the ordinance requiring hazard pay for grocery workers in unincorporated King County.
Meeting_Planning,Schedule a council review of the ordinance three months after it takes effect.
Document_Writing,Prepare and attach the proposed amendment to the Council's state legislative agenda.
Meeting_Planning,Expedite the consent agenda items six through 13 for full council for next week's meeting.
Document_Writing,"Develop and transmit an initial implementation plan for the health through housing sales tax. | Provide a companion ordinance establishing the health through Housing Advisory Committee. | Transmit a proposed eight-year update to the implementation plan every eight years, beginning in 2027."
Administrative_Communication,Include information of the amount of sales tax proceeds spent in each jurisdiction in annual reporting. | Include a communication and partnership plan in the initial implementation plan.
Document_Writing,Insert the name of the selected appointee into the proposed motion 2020 10006.
Meeting_Planning,Schedule a follow-up meeting for the full council to consider the appointment.
Document_Writing,Draft the proposed Fireworks Prohibition Ordinance for review.
Meeting_Planning,Schedule a public hearing in full council within 30 days of committee action.
Administrative_Communication,Communicate any amendment concepts to council central staff no later than the Friday after the committee action.
Meeting_Planning,"Expedite consent agenda items six, seven, and eight to full council next week. | Schedule a public hearing for the brewery distillery moratorium on December 8th."
Document_Writing,Draft a staff report related to the motion regarding money transfer operators and bank derisking.
Administrative_Communication,Direct the government relations team to reach out to the state of Washington to explore actions for promoting financial inclusion.
Document_Writing,Prepare a striking amendment request for the fifth COVID 19 omnibus for council's consideration.
Meeting_Planning,Expedite action on ordinance 2020-0383 for discussion at Tuesday's council meeting.
Administrative_Communication,Send out finalized amendment details to council members before the next meeting.
Document_Writing,Prepare the ordinance for execution regarding the airspace lease agreement with the Department of Transportation.
Meeting_Planning,Expedite the recommendation for ordinance 2020 103 to the full council a week from today.
Document_Writing,Transmit a proposed initial health through housing implementation plan by June 30th for approval by Council.
Administrative_Communication,Add Council members Balducci and Dombrowski as co-sponsors on Ordinance 2020 337 and Ordinance 2020 319.
Document_Writing,Finalize the amendments to the implementation plan for the Puget Sound Taxpayer Accountability Act.
Meeting_Planning,Expedite the motion 2020 249 as amended to the full council for review next Tuesday.
Administrative_Communication,Send out the finalized motion and amendments to council members for their records.
Document_Writing,Prepare the redistricting committee documents and final recommendations by December 31 of next year. | Submit a district plan to the committee by December 31.
Meeting_Planning,Expedite motion 2020 298 to full council next Tuesday and place it on consent. | Appoint four members to the district committee by the end of January of next year.
Administrative_Communication,Notify council members by written notice to nominate someone to serve on the district committee by December.
Document_Writing,Transmit the report of the retrospective analysis of the current coronavirus pandemic response in King County to the council. | Compile the final report from the graduate student teams at the Evans School of Public Policy and Governance.
Meeting_Planning,Get cost information for the study to share before the vote of the full council.
Administrative_Communication,Notify stakeholders about the amendments and upcoming discussions.
Document_Writing,Prepare the Metro's safety plan for submission to the Federal Transit Administration by the end of the year. | Incorporate technical amendment to the safety plan document to include omitted information required by the FTA.
Meeting_Planning,Expedite the approved motion 2020 299 to the full council for review next Tuesday.
Document_Writing,Finalize and send out the recommendation for motion 20 2073. | Prepare the documentation for motion 20 2075 to confirm the executive's appointment of Regina Roux.
Document_Writing,"Prepare the consent agenda for the council meeting, including Motion 20 2075."
Meeting_Planning,Expedite Motion 20 2075 to the council meeting scheduled for a week from today.
Document_Writing,Draft the amendment for ordinance 2020 237 to adjust the start date and reporting due dates for the Electric Scooter Pilot Program.
Meeting_Planning,Schedule the next Council meeting for the consent agenda regarding ordinance 2020 237.
Document_Writing,Prepare the Request for Proposal (RFP) process for early learning capital funds and ensure community outreach. | Develop a pilot project for direct work with youth under the Love and Liberation initiative.
Meeting_Planning,Schedule the next meeting for action on the implementation plan on August 25th.
Document_Writing,Prepare and transmit the proposed COVID 19 emergency omnibus legislation on or around October 15th. | Draft a proposal for additional infrastructure investment in child care providers for council consideration.
Meeting_Planning,Schedule a follow-up meeting with Councilmember Lambert to discuss suggestions for East County testing site locations. | Plan a follow-up to discuss the outreach to immigrant and refugee communities with public health staff.
Administrative_Communication,"Email Councilmember Lambert to coordinate on East County testing site suggestions. | Provide an update to the council regarding the status of the Access Food Delivery Service, including funding sources."
Document_Writing,Draft the charter amendment regarding the appointment of the county sheriff.
Meeting_Planning,Schedule a follow-up meeting to discuss the integration of the stakeholder consultation process.
Administrative_Communication,Send the PowerPoint presentation and additional materials to the council members.
Document_Writing,Draft the proposed ordinance 2020 231 for submission to the voters.
Meeting_Planning,Expedite the do pass recommendation for ordinance 2020 231 to the next council meeting.
Administrative_Communication,Confirm the deadlines for voting charter amendments out of full council to place them on the ballot in November.
Document_Writing,Prepare the motion 2020 240 that declares racism as a public health crisis.
Meeting_Planning,Schedule discussions with public health and community representatives to review programs related to health disparities among demographics in King County.
Administrative_Communication,Communicate with community leaders and organizations to discuss recommendations and develop solutions addressing the impact of racism.
Document_Writing,Transmit a report to council based on the retrospective analysis and have it filed by June 30th of 2021.
Meeting_Planning,Schedule a briefing to discuss the retrospective analysis before taking a vote.
Document_Writing,Draft the proposed ordinance to place a $1.74 billion capital improvement bond on the November 2020 ballot.
Meeting_Planning,Schedule the last regular council meeting to adopt the proposed ordinance by July 7.
Administrative_Communication,Prepare and send updated financial analysis to the council by June 15.
Document_Writing,Draft the proposed ordinance 2020 203 for the council meeting.
Meeting_Planning,Schedule a vote on the proposed ordinance 2020 203 for the next council meeting on Tuesday.
Administrative_Communication,Prepare communication regarding the upcoming vote on the charter amendment.
Document_Writing,Prepare the charter amendment for proposed Ordinance 2019 to 36.
Meeting_Planning,Schedule a discussion for the next council meeting regarding the charter amendment.
Administrative_Communication,Notify the council members about the passing of Ordinance 2019 to 36 and its inclusion in the next council agenda.
Document_Writing,"Update all emergency management and disaster recovery plans and documents to address pandemics and lessons learned from COVID-19. | Create an overall pandemic response plan to respond to pandemics in general, not just pandemic influenza. | Provide a status report and briefing to the Council on the pandemic response plan by September 1st, 2021."
Document_Writing,Draft and file the proposed ballot proposal to amend King County Charter to prohibit discrimination in employment or compensation based on family caregiver or military status.
Meeting_Planning,Schedule a follow-up meeting to discuss the adoption of the amendments outlined in Ordinance 2020 207.
Administrative_Communication,Send out notifications to members regarding the adoption of Ordinance 2020 207 and include it on the consent agenda for the next meeting.
Document_Writing,Draft the proposed ordinance 2020 206 to amend the King County Charter and grant the Office of Law Enforcement Oversight subpoena powers for voter approval.
Meeting_Planning,Schedule discussions on the necessity of engaging in bargaining with the affected unions before OLEO can exercise the powers granted by the proposed amendment.
Administrative_Communication,"Communicate with the Elections Department to ensure the proposed ordinance is transmitted by August 4, 2020, for placement on the November ballot."
Document_Writing,Prepare and submit the ordinance 2020 0176 for review before the council meeting next week.
Meeting_Planning,Schedule a briefing with legal counsel regarding the timeline for tax collection related to the bond proposal before the final adoption.
Administrative_Communication,Notify council members about the upcoming executive session and ensure Zoom is set up for the meeting.
Document_Writing,"Prepare a striking amendment to change the sunset date of the proposed ordinance from September 1, 2020, to March 1, 2021. | Draft and clarify the payment plan language within the proposed ordinance."
Meeting_Planning,Schedule a meeting to discuss analysis of regulatory takings and tortious interference with contractual relations regarding the ordinance.
Administrative_Communication,Send out a notice for the upcoming executive session to discuss legal implications of the proposed ordinance.
Document_Writing,"Request a report from the Executive to inform Council deliberations on possible renewal of the Best Start for Kids Levy, due by September 30, 2020. | Finalize a striking amendment to be offered at next week's council meeting. | Ensure that the assessment report includes analysis of the impact of investments in advancing equity and social justice. | Include an analysis of the balance between different programmatic divisions in the Best Start for Kids Levy in the report."
Administrative_Communication,Circulate the final version of the striking amendment draft quickly.
Document_Writing,Confirm the appointment of A.S. Peterson to the Council District six seat for the Fort Culture board.
Document_Writing,Draft the amendments to the board roster for for culture to correct the name of one board member and include new appointments.
Administrative_Communication,Follow up with the public art team to gather feedback mechanisms for tenants after project completion.
Document_Writing,Send over the schedule of what a young person does throughout the day at the facility.
Administrative_Communication,"Provide a comprehensive plan to develop alternatives to juvenile detention, including budget details and environmental review."
Document_Writing,Prepare the clean water plan to be transmitted to the council by the end of 2021. | Create scenarios to analyze the impacts of different rate proposals on capital projects and the budget.
Meeting_Planning,Schedule a public hearing for the proposed ordinance related to sewer rates on May 26.
Administrative_Communication,Notify the council members about the need for more information regarding the sewer rate increase and its implications.
Document_Writing,Develop the Youth and Young Adult Gun Violence Report based on community input and recommendations.
Meeting_Planning,Schedule a follow-up meeting to discuss the findings and recommendations from the Youth and Young Adult Gun Violence Report.
Administrative_Communication,Inform community organizations about available funding opportunities from Best Starts for Kids to support youth programs.
Document_Writing,Draft a non-binding resolution requesting the governor and federal legislators to impose a moratorium on rent and mortgage payments.
Meeting_Planning,Schedule a follow-up meeting to discuss potential amendments and language improvements for the resolution.
Administrative_Communication,Send the amended motion for discussion in the full council.
Document_Writing,Draft the quarterly financial report. | Prepare ordinance 2020 177 as amended for full council agenda.
Meeting_Planning,Schedule the next budget review meeting for Friday.
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting.
Document_Writing,Draft the strategy that reflects the priorities for allocation of the Puget Sound Taxpayer Accountability Act funds.
Meeting_Planning,Prepare for the next committee meeting scheduled for July 15th where the funding strategy will be discussed.
Administrative_Communication,Send out communication to engage stakeholders and gather feedback on the proposed allocations for the Puget Sound Taxpayer Accountability Act funds.
Document_Writing,Draft the striking amendment for the council meeting on July 1st.
Meeting_Planning,Plan to convene the Governance Committee to discuss the allocation of resources.
Administrative_Communication,Encourage community members to provide input regarding funding allocations via email and meetings.
Document_Writing,"Provide technical assistance to King County agencies to increase compost use in county projects. | Develop specifications for compost that can be applied in different county projects. | Prepare a funding request to allow for the application of materials on closed landfills for greenhouse gas emission sequestration. | Provide a financial breakdown on the spending of the $500,000 allocated for developing recommendations and piloting the compost project. | Explore mechanisms to minimize contamination in collected organics and improve marketability of compost."
Document_Writing,Draft ordinance naming the facility and resource center after Judge Patricia Clark and Justice Bobby Bridge.
Meeting_Planning,Schedule the next council meeting to formally adopt the ordinance.
Administrative_Communication,Prepare and send a press release regarding the naming of the Children and Family Justice Center.
Document_Writing,Acknowledge receipt of the feasibility study and prepare a motion regarding its findings.
Meeting_Planning,Plan for a follow-up discussion on solid waste technology options within the next 12 months.
Administrative_Communication,Send out a memo to council members summarizing the different assumptions leading to the conclusions in the feasibility study.
Document_Writing,Draft the resolutions for the appointments to the King County Solid Waste Advisory Committee.
Meeting_Planning,Schedule a follow-up discussion regarding the current rates in unincorporated areas and potential collaboration with the state.
Administrative_Communication,"Send a communication to committee members regarding the confirmation of appointees Lee Eric Moman, Heather Trim, Robin Friedman, and James Balsam."
Document_Writing,"Draft the implementation plan that includes financial plans, governance structure, and policies for facilities related to early learning programs."
Meeting_Planning,Schedule the return of the implementation plan to full council on the 28th of August for action.
Administrative_Communication,"Ensure that the advisory board has expertise in areas such as systemic racism, multicultural curriculum, childhood trauma, and best practices in restorative justice."
Document_Writing,Prepare a detailed report on the staffing changes and their impact on mandatory overtime. | Develop a proposal for implementing medical-assisted treatment programs in the facilities. | Create a detailed plan for enhancing release and transition programs for individuals with behavioral health challenges.
Meeting_Planning,Organize a meeting with labor representatives to discuss potential changes in work rules.
Administrative_Communication,Communicate with retirees about their interest in filling gaps in staffing.
Administrative_Communication,Advance Ms. Phelps's appointment to the Culture Board to the full council and put it on the consent agenda.
Document_Writing,Draft the revised ordinance based on the input received during the public testimony.
Meeting_Planning,Schedule a public hearing on the amended ordinance for a date in the next 30 days to allow for additional input.
Administrative_Communication,Send out notifications regarding the upcoming public hearing on the amended ordinance to relevant stakeholders.
Document_Writing,"Draft the updated version of the ordinance addressing wineries, breweries, and distilleries."
Meeting_Planning,Schedule a follow-up meeting to discuss amendments to the ordinance and gather public input.
Administrative_Communication,Send out a public notice regarding the new regulations and the upcoming comment period.
Meeting_Planning,Consider and confirm the appointment of Natasha Rivers to the King County Cultural Development Authority at the April 24th full council meeting.
Document_Writing,Expedite the approval of consent agenda items to Monday.
Administrative_Communication,Confirm the county executive's appointment of Leonardo Flor as a director.
Document_Writing,Draft amendments for ordinances 2018 0456 and 2018 0457.
Meeting_Planning,Schedule a meeting one week from today to expedite the passage of ordinances 2018 0456 and 2018 0457.
Administrative_Communication,Encourage members to review the code change related to authority to issue warrants.
Document_Writing,Prepare a record of the motion 2019 102 for full council approval.
Meeting_Planning,Schedule the upcoming council meeting to confirm the executive's appointment of Rick Brady.
Administrative_Communication,Inform Mr. Martin about the outcome of the appointment process and any next steps.
Document_Writing,Prepare and submit the necessary paperwork for the confirmation of Leo Flor's appointment as director of the Department of Community and Human Services.
Administrative_Communication,Send out a press release announcing Leo Flor's appointment as director of the Department of Community and Human Services.
Document_Writing,Prepare the final Solid Waste Comprehensive Plan for submission to the King County Council.
Meeting_Planning,Schedule a hearing in District 9 to hear from community members regarding the Solid Waste Comprehensive Plan before the final vote.
Administrative_Communication,Send updates and relevant information about the landfill capacity and future waste management plans to the stakeholders and community members.
Document_Writing,Prepare and format amendment documents for motions 334 to 360.
Meeting_Planning,Facilitate introductions for the task force.
Document_Writing,Create updated code and personnel guidelines for the Department of Human Resources.
Meeting_Planning,Schedule succession planning discussions with department directors.
Administrative_Communication,Provide information on the racial makeup of the county workforce to Councilmember Gossett.
Document_Writing,"Prepare documentation for the consent agenda items five, six, and seven."
Meeting_Planning,Clarify the scheduling for the expedited consent items on the council agenda.
Document_Writing,Draft the ordinance for changes to allow increased funding of conservation futures tax proceeds and establish policies for the purchase of equity areas in underserved census tracts.
Meeting_Planning,Schedule the next discussion regarding the legislation to incorporate feedback from the Regional Policy Committee.
Administrative_Communication,Send announcements and updates to stakeholders regarding the passage of the conservation futures tax ordinance.
Document_Writing,Draft a work plan for the Legislative Branch Equity and Social Justice team.
Meeting_Planning,Schedule the next meeting for the Legislative Branch Equity and Social Justice team. | Prepare for the next budget review meeting scheduled for October 1st at 9:30 a.m.
Administrative_Communication,Request authorization from the County Council to bring speaker John Power for an event.
Document_Writing,Draft the interlocal agreement related to lodging tax allocation.
Meeting_Planning,Organize a follow-up discussion regarding stakeholder opinions on the lodging tax allocation.
Administrative_Communication,Send out communication to council members regarding the need for additional funding for capita improvements.
Document_Writing,Prepare panel documents for nominees for the Decennial Charter Review Commission.
Meeting_Planning,Recess for 5 minutes and reconvene at 9:45.
Document_Writing,Draft the ordinance to reallocate a portion of the unexpended funds toward a number of projects.
Administrative_Communication,Send the updated project list of approved projects to the council. | Provide appropriate appropriation authority legislation to the Council for any additional funds allocated.
Meeting_Planning,"Set the second meeting for September, specifically the 19th, for the Fort Culture report and plans."
Document_Writing,Draft Amendment One to modify the statement of facts and clarify the history of the gathering.
Meeting_Planning,Plan and convene the annual gathering celebrating the life and legacy of Reverend Dr. Martin Luther King Jr.
Administrative_Communication,Send out a county-wide email to all employees to invite their participation in the planning of the MLK gathering.
Document_Writing,Develop and transmit legislation to support identified plan allocation as specified in the proposed motion related to employment.
Meeting_Planning,Review the proposed agreement between the city and the county to transmit the funds as proposed in the motion.
Administrative_Communication,Send the Strategic reports regarding arts and heritage funding and tourism promotion to the Council.
Document_Writing,Draft the final ordinance incorporating amendments and recommendations discussed in the meeting.
Administrative_Communication,Send a summary of the approved amendments and their implications to all council members.
Document_Writing,"Transmit an initial framework for the gender identity and sexual orientation inclusion task force, including an estimated budget to council within three months of their first meeting. | Provide a final report of the task force to council one year after the approval of the initial framework."
Administrative_Communication,Prepare interim updates and recommendations from the task force as deemed necessary or as requested by the Council or executive.
Document_Writing,Draft recommendations for the upcoming Charter Review Commission process.
Meeting_Planning,Schedule follow-up meetings with key stakeholders and council members to discuss the Charter review.
Administrative_Communication,Send out official notifications to all appointed members of the Charter Review Commission.
Document_Writing,Prepare the amendment to the proposed ordinance 2018 0178 that replaces an incorrectly transmitted appendix 51.
Administrative_Communication,Send out email reminders regarding the upcoming council meetings for ordinances 2018 0178 and 2018 0138.
Document_Writing,"Advance ordinance 2018 0230 without recommendation to the full council. | Offer the striking amendment number S-1, making technical and legal changes."
Meeting_Planning,Schedule a discussion for the tonnage discrepancies before the full council meeting.
Document_Writing,"Develop and transmit an implementation plan for the county to coordinate efforts for the 2020 census with a focus on hard to count communities by September 1st, 2018."
Meeting_Planning,Form a complete count committee comprised of representatives from various sectors by the end of 2018.
Administrative_Communication,Send a letter to the 39 mayors flagging the importance of the 2020 census and inviting collaboration.
Document_Writing,Prepare a briefing about the county's priorities.
Meeting_Planning,"Schedule the next meeting for Wednesday, March 21st."
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting.
Document_Writing,Draft the ordinance number 2017 0481 establishing the King County Immigrant and Refugee Commission.
Meeting_Planning,Schedule monthly commission meetings and at least one large community briefing each year.
Administrative_Communication,Finalize the list of candidates for appointment to the Commission by a Joint Committee of Executive and council representatives.
Document_Writing,Complete the final ordinance making changes to the King County Code regarding gendered language.
Meeting_Planning,Schedule a follow-up to review the ordinance and ensure amendments can be made before the full council meeting.
Administrative_Communication,Prepare public notices related to the regulations for the ordinance.
Document_Writing,Draft the report acknowledging receipt of the garbage collection report for unincorporated areas.
Meeting_Planning,Organize the discussion on the Comprehensive Solid Waste Management Plan anticipated to be transmitted later this year.
Administrative_Communication,Communicate with the division regarding the postponement of the garbage collection policy until the end of 2018.
Document_Writing,Prepare the revised for Culture budget to be transmitted to the County Council.
Administrative_Communication,Notify and provide input from the for Culture Governance Nominating Committee on board vacancies.
Document_Writing,Draft the annual report to the Regional Policy Committee on implementation of the E911 strategic plan's recommendations.
Meeting_Planning,"Organize a meeting to discuss the new contracts between King County and the peace ups, to be completed by the end of this year."
Administrative_Communication,Prepare and send an email update to the Advisory Governing Board about key milestones for the E911 strategic plan implementation.
Document_Writing,"Prepare the second report on long term options for the landfill, due in June."
Meeting_Planning,Schedule the next meeting for February 7th to continue work on the King County Code changes and receive a briefing about the Hearst Supreme Court decision.
Administrative_Communication,Communicate with staff about the changes in policy regarding the acceptance of clean wood at the transfer station.
Document_Writing,Draft the staff report for the Master Labor Agreement and companion ordinance.
Meeting_Planning,Schedule the next committee meeting for the review of the Master Labor Agreement.
Administrative_Communication,Send out notification to committee members regarding the final review of the Master Labor Agreement.
Document_Writing,Prepare the proposed Ordinance 2017 0489 for the consent agenda.
Meeting_Planning,Schedule the next session to discuss the remaining ordinances by May of 2018.
Administrative_Communication,Follow up with executive staff regarding the identification of supplies needed for increased capacity during emergencies. | Follow up with executive staff to determine how they will alert other agencies about the emergency technology plan.
Document_Writing,Prepare an updated list of reporting requirements to detail changes in frequency and upcoming deadlines for the council members.
Administrative_Communication,Inform the council members about the changes in reporting requirements and the rationale for report eliminations before final passage.
Document_Writing,Combine reporting requirements for public records related reports and submit to the Public Records Committee. | Codify and combine Project Control Officer's reporting requirements into the proposed ordinance.
Meeting_Planning,Expedite Ordinance 2017 0501 to full council.
Document_Writing,Draft proposed ordinance number 2017 0490 to amend the county's sick leave and human resource related policies.
Meeting_Planning,Schedule the next meeting for December 6th to discuss the elimination of unnecessary reports and other agenda items.
Administrative_Communication,Prepare a memo to inform labor unions of upcoming changes to sick leave policies following the new state law.
Document_Writing,Draft the proposed ordinance number 2018 0086.
Meeting_Planning,Convene a cultural development task force composed of local elected officials and representatives from Fort Culture.
Administrative_Communication,Prepare and send the analysis of the changes in the expertize requirements of the board to the council members.
Document_Writing,Prepare a report containing recommendations to the county from the cultural development task force to promote geographic and social equity in funding allocation.
Meeting_Planning,Schedule meetings for the cultural development task force to discuss and review cultural infrastructure.
Administrative_Communication,Send notifications to relevant County Council members regarding the nomination process for the cultural development task force.
Document_Writing,Draft the construction agreement and the land transfer agreement for the new solid waste transfer station.
Meeting_Planning,Schedule a public hearing for the companion land transfer agreement for November 13.
Administrative_Communication,Send out notifications regarding the public hearing scheduled for November 13.
Document_Writing,Prepare a legal analysis regarding the use of funds for capital and operating expenses.
Document_Writing,Develop a policy for hospital staff regarding information sharing with federal officials.
Meeting_Planning,Schedule a follow-up meeting regarding the guidance from the Attorney General's office.
Administrative_Communication,Inform council members about the new immigration laws and compliance measures.
Document_Writing,Amend the ordinance to add Jason Poitras' name.
Meeting_Planning,Prepare for the upcoming meeting on Monday at the earlier announced time.
Document_Writing,Prepare the striking amendment and title amendment for proposed ordinance 2017 0301.
Administrative_Communication,Communicate with the labor unions regarding the development of the Fellowship Work Program.
Document_Writing,Submit an implementation plan for the demand management pilot.
Meeting_Planning,Prepare a status report after seven months of pilot project implementation.
Administrative_Communication,Communicate the results and lessons learned from the pilot project.
Document_Writing,Prepare a staff report summarizing candidates' bar association ratings and qualifications.
Meeting_Planning,Interview the five final candidates for two vacancies in the Southeast Division.
Administrative_Communication,Ensure candidates are escorted to the conference room for interviews. | Suggest a system for notifying defendants of their hearing dates through automated calls or texts.
Document_Writing,Draft Amendment One to clarify historic preservation can result in tourism promotion benefits and to ensure that all projects must meet the requirements of the underlying funding source.
Meeting_Planning,Schedule a follow-up meeting in January to discuss funding opportunities and ensure all communities have access to the Preservation Action Fund.
Administrative_Communication,Inform local cities about the opportunity to enter into interlocal agreements with historic Seattle to participate in the Preservation Action Fund.
Document_Writing,"Prepare a spreadsheet for members that summarizes the distribution of funding around King County, including projects from both round one and round two."
Meeting_Planning,Hold offline meetings about the geographic representation and funding distribution issue.
Administrative_Communication,"Provide better information on the projects and distribution of funding, as well as the amount of money spent on education out of the BRIGHTWATER funds."
Document_Writing,Prepare the last quarterly report on expenditures for the 2015-2016 biennial budget.
Meeting_Planning,Schedule a review of all items before the council for next year.
Administrative_Communication,Send summary of the quarterly expenditures and emergent needs to council members.
Document_Writing,Draft the implementation plan for the proposed ordinance regarding King County Access for All.
Meeting_Planning,Schedule a follow-up meeting to discuss the implementation plan and gather council input.
Administrative_Communication,Send a report to the Executive and Council outlining the distribution of funds for community-based cultural organizations.
Document_Writing,Prepare a proclamation for October as Filipino-American History Month.
Meeting_Planning,Expedite consent for the proposed ordinance 2016 0500 and proposed motion 2016 0501.
Document_Writing,Prepare the Metro Connects report detailing updates and community involvement.
Meeting_Planning,Expedite the motion to confirm Mr. Gannon as the general manager for Metro Transit for the next council meeting.
Administrative_Communication,Send the council members the letters of support for Mr. Gannon's appointment.
Document_Writing,Prepare a standardized contract template for road maintenance agreements.
Administrative_Communication,Send the technical amendment regarding Council's authorization of the use of the template to legal counsel.
Document_Writing,Provide additional analysis of the road vacation section of the road standards updates and a striking amendment for the November 7th meeting. | Consolidate sections of the county code that address the Commute Trip Reduction Act into Title 28.
Administrative_Communication,Send the quarterly report from the Road Services Division on emergent needs and unanticipated project costs.
Document_Writing,Distribute the revised chair's striking amendment and ensure amendments are provided to the committee.
Meeting_Planning,Schedule additional meetings to finalize details regarding the purchase and sale agreement and its amendments.
Administrative_Communication,Send out reminders for the upcoming stakeholder meeting related to the convention center project.
Document_Writing,"Prepare a report based on the work of the task force that includes a list of governmental agencies, analysis of laws, and recommendations for strategies to prevent labor trafficking."
Meeting_Planning,"Schedule the first meeting of the task force by April 1, 2017, and report back to the Council in December 2017."
Administrative_Communication,Notify the Council at least 30 days prior to the appointments to the task force.
Document_Writing,Confirm the debt service payment amount related to the tunnel and whether the county will be relieved from it.
Meeting_Planning,Prepare an amendment regarding the affordable housing commitments and discuss it at the special meeting next Monday morning.
Administrative_Communication,Communicate with legal counsel regarding the feasibility of targeting housing units for specific workers in relation to the project.
Document_Writing,"Produce a report that includes an analysis of expected impacts of establishing the domestic violence unit and the identification of desired outcomes, goals, and specific performance measures for the unit."
Document_Writing,Finalize and prepare the proposed ordinance 2014-032.
Meeting_Planning,Organize the vote on Amendment four and Amendment five for the proposed ordinance 2014-032.
Administrative_Communication,Send out notifications about the changes to the remote attendance rules.
Document_Writing,Prepare a resolution supporting the expansion of Social Security and Medicaid programs to be presented to the full council.
Administrative_Communication,Inform the congressional delegation of King County's support for the expansion of Social Security and Medicaid programs.
Document_Writing,Prepare the first quarterly expenditures report for emergency needs.
Meeting_Planning,Schedule a follow-up discussion on other expenditure reports.
Administrative_Communication,Send out notices regarding the approved budgets and upcoming reports.
Document_Writing,Prepare the final action paperwork for the charter amendment before the end of the month.
Meeting_Planning,Expedite the charter amendment to ensure it is on the ballot before the August recess.
Document_Writing,Prepare amendments to the proposed ordinance concerning remote attendance for discussion in the next meeting.
Meeting_Planning,Schedule a follow-up meeting to review and finalize the amendments to the remote attendance ordinance.
Administrative_Communication,Distribute the redlined version of Amendment One to all council members.
Document_Writing,Draft a charter amendment to make the office of King County prosecuting attorney nonpartisan for the November 2016 ballot.
Meeting_Planning,Plan a discussion session to review the proposed ordinance on the prosecuting attorney's election status.
Administrative_Communication,Send out communication to council members about the upcoming vote on the ordinance in two weeks.
Document_Writing,"Develop a plan for addressing major technology emergencies for the Office of Emergency Management, Natural Resources and Parks, and the Department of Elections."
Meeting_Planning,Prepare a report to be presented to the Council in April of next year.
Administrative_Communication,Coordinate with KCET regarding alerts for upcoming events that could be adversely impacted by IT emergencies.
Meeting_Planning,Advertise the vacant positions for the West Division of the King County District Court the following week.
Document_Writing,Prepare the underlying legislation 2016 0218 for the consent calendar.
Meeting_Planning,Schedule the discussion for the next meeting on motions 2016 002 and 2016 0020.
Meeting_Planning,Schedule interviews for the final judge candidates on May 4th.
Administrative_Communication,"Inform candidates that the interviews are scheduled for the morning of May 4th, not in the evening."
Document_Writing,Prepare a staff report on proposed motion 2016 039 NO and proposed motion 2016 0443. | Attach the job description for the flood control district executive director to the proposed motion 2016 0443.
Meeting_Planning,Schedule the advertisement for the King County Flood Control District Executive Director position to commence immediately.
Administrative_Communication,Inform the human resources team to propose a timeframe for the advertising of the King County Flood Control District Executive Director position.
Document_Writing,Prepare the final report for the Immigrant and Refugee Task Force with a new deadline of July 8th.
Document_Writing,"Prepare the code changes required to implement the agreement, with a summary to be distributed to the council."
Meeting_Planning,Expedite the proposed ordinance to be voted on at Monday's council meeting.
Document_Writing,"Finalize the recommendations for the King County regional e911 strategic plan and submit the report to the Regional Policy Committee, County Council, and County Executive by May 31."
Meeting_Planning,Expedite the proposed ordinance and motion through their respective committees to be passed by the full council as soon as March 13.
Document_Writing,Prepare a technical amendment to correct the typographical error in proposed motion 2016 0117.
Meeting_Planning,Schedule a future meeting to discuss the items that were deferred due to amendments.
